epoch,loss,train_acc,val_acc,train_f1,val_f1
1,0.26420581340789795,0.8900146484375,0.888673765730881,0.8782267874037032,0.8777895855472901
2,0.1706727147102356,0.7603759765625,0.7492739593417231,0.7971897923339188,0.7902834008097166
3,0.12354433536529541,0.89208984375,0.8915779283639884,0.8975666280417149,0.8972477064220183
4,0.11103606224060059,0.9752197265625,0.9767666989351403,0.9741104450962887,0.9758551307847082
5,0.10570614039897919,0.974609375,0.9738625363020329,0.9732510288065843,0.9725888324873097
6,0.10322690010070801,0.974853515625,0.9748305905130688,0.9734193548387097,0.9735772357723578
7,0.10202039778232574,0.974853515625,0.9738625363020329,0.9733987603305785,0.9725330620549338
8,0.10142747312784195,0.974853515625,0.9757986447241046,0.9733918884009299,0.9745676500508647
9,0.10113193839788437,0.974853515625,0.9757986447241046,0.9733918884009299,0.9745676500508647
10,0.10098486393690109,0.974853515625,0.9757986447241046,0.9733918884009299,0.9745676500508647
11,0.10091149806976318,0.9747314453125,0.9757986447241046,0.9732592688283167,0.9745676500508647
12,0.1008748710155487,0.9747314453125,0.9757986447241046,0.9732592688283167,0.9745676500508647
13,0.10085656493902206,0.9747314453125,0.9757986447241046,0.9732592688283167,0.9745676500508647
14,0.10084740817546844,0.9747314453125,0.9757986447241046,0.9732592688283167,0.9745676500508647
15,0.10084285587072372,0.9747314453125,0.9757986447241046,0.9732592688283167,0.9745676500508647
16,0.10084057599306107,0.9747314453125,0.9757986447241046,0.9732592688283167,0.9745676500508647
17,0.10083945095539093,0.9747314453125,0.9757986447241046,0.9732592688283167,0.9745676500508647
18,0.10083892941474915,0.9747314453125,0.9757986447241046,0.9732592688283167,0.9745676500508647
19,0.10083867609500885,0.9747314453125,0.9757986447241046,0.9732592688283167,0.9745676500508647
20,0.1008385717868805,0.9747314453125,0.9757986447241046,0.9732592688283167,0.9745676500508647
