epoch,loss,train_acc,val_acc,train_f1,val_f1
1,0.24284842610359192,0.475341796875,0.4762826718296225,0.6443819295052127,0.6452459016393443
2,0.12981028854846954,0.475341796875,0.4762826718296225,0.6443819295052127,0.6452459016393443
3,0.07613839209079742,0.475341796875,0.4762826718296225,0.6443819295052127,0.6452459016393443
4,0.052983805537223816,0.475341796875,0.4753146176185866,0.6443819295052127,0.6443569553805775
5,0.04641643911600113,0.6707763671875,0.6766698935140368,0.7427753934191702,0.7462006079027356
6,0.043764226138591766,0.973388671875,0.9719264278799613,0.9726680040120361,0.9713155291790306
7,0.04243037849664688,0.985595703125,0.9796708615682478,0.9849643221202854,0.978894472361809
8,0.04176058620214462,0.9884033203125,0.9835430784123911,0.9878438899552143,0.9828456104944501
9,0.04143192991614342,0.9891357421875,0.9845111326234269,0.9885794944180675,0.9838056680161943
10,0.04126787930727005,0.989013671875,0.9854791868344628,0.9884437596302003,0.9847715736040609
11,0.041185975074768066,0.9888916015625,0.9854791868344628,0.9883078504432738,0.9847715736040609
12,0.041145045310258865,0.989013671875,0.9854791868344628,0.9884348496530455,0.9847715736040609
13,0.04112451151013374,0.9891357421875,0.9854791868344628,0.9885618815062331,0.9847715736040609
14,0.041114259511232376,0.9891357421875,0.9854791868344628,0.9885618815062331,0.9847715736040609
15,0.041109174489974976,0.9891357421875,0.9854791868344628,0.9885618815062331,0.9847715736040609
16,0.04110664129257202,0.9891357421875,0.9854791868344628,0.9885618815062331,0.9847715736040609
17,0.041105449199676514,0.9891357421875,0.9854791868344628,0.9885618815062331,0.9847715736040609
18,0.041104868054389954,0.9891357421875,0.9854791868344628,0.9885618815062331,0.9847715736040609
19,0.04110465198755264,0.9891357421875,0.9854791868344628,0.9885618815062331,0.9847715736040609
20,0.04110454022884369,0.9891357421875,0.9854791868344628,0.9885618815062331,0.9847715736040609
